company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
SK Finance,Finance,Financial Services,Jaipur,Rajasthan,"SK Finance is a non-banking financial company that serves micro, small, and medium-sized enterprises.",302001,—,1994,www.skfin.in/,1,Rajendra K Setia,10001+,9,Private Equity,"Jan 23, 2024","₹13,280,000,000",Private Equity,"$377,651,608",TPG,responsAbility Investments,Mirae Asset Venture Investment,TPG Growth,Norwest Venture Partners,13
IndiaMART,B2B,E-Commerce,Noida,Uttar Pradesh,IndiaMART.com is an online B2B marketplace connecting buyers with suppliers.,201305,$10M to $50M,"Apr 1, 1996",www.indiamart.com,2,Brijesh Agrawal,1001-5000,4,IPO,"Jun 24, 2019","₹2,136,000,000",Venture - Series Unknown,"$40,839,800",Elevation Capital,Intel Capital,Amadeus Capital Partners,WestBridge Capital,Brand Capital,10
Pine Labs,Financial Services,FinTech,Noida,Uttar Pradesh,Pine Labs is a merchant commerce platform that provides financing and last-mile retail transaction technology to merchants.,201301,$10M to $50M,1998,www.pinelabs.com,3,Lokvir Kapoor,1001-5000,13,Private Equity,"Mar 29, 2022","$50,000,000",Private Equity,"$1,238,363,529",Fidelity,Invesco,State Bank of India,Actis,BlackRock,26
RP tech India,B2B,Hardware,Mumbai,Maharashtra,"RP tech India is a computer software company that provides enterprise solutions, B2B, and networking solutions.",400069,—,1989,rptechindia.com,2,Krishna Choudhary,501-1000,1,IPO,"Jan 19, 2024","₹1,500,000,000",Venture - Series Unknown,"₹1,500,000,000",Volrado Venture Partners,Madhuri Madhusudan Kela,,,,2
BookMyShow,Digital Entertainment,E-Commerce,Mumbai,Maharashtra,"BookMyShow is an Indian online ticketing service for cinemas, theaters, and sports.",400049,$10M to $50M,1999,in.bookmyshow.com,3,Ashish Hemrajani,501-1000,6,—,"Jan 1, 2019",—,Venture - Series Unknown,"$224,500,000",Accel,Elevation Capital,Stripes,TPG Growth,SAIF Partners,7
SAI Life Sciences,Health Care,Pharmaceutical,Hyderabad,Andhra Pradesh,"SAI Life Sciences delivers advanced Discovery, Contract Development and Manufacturing Solutions.",500 033,$1M to $10M,1999,www.sailife.com/,1,Krishna Kanumuri,1001-5000,6,—,"Mar 6, 2019","₹192,570,000",Venture - Series Unknown,"$197,126,397",Tata Capital,TPG,Peak XV Partners,MPM Capital,HBM Healthcare Investments AG,5
GreytHR,Human Resources,SaaS,Bangalore,Karnataka,greytHR - India’s 1st ever fully integrated cloud-based HR & Payroll software.,560095,$10M to $50M,1994,www.greythr.com/,2,Girish Rowjee,501-1000,4,Late Stage Venture,"Nov 23, 2021","₹518,000,000",Series D,"$17,038,805",Info Edge,Blume Ventures,New Enterprise Associates,MegaDelta Capital,,4
Greenko Group,Clean Energy,Energy,Hyderabad,Andhra Pradesh,"Greenko Group is a renewable energy company, replacing fossil fuels with integrated decarbonized energy and grid assets.",500033,$50M to $100M,2004,www.greenkogroup.com,2,Anil Chalamalasetty,1001-5000,15,Private Equity,"Mar 2, 2023","$700,000,000",Private Equity,"$6,712,752,897",Deutsche Bank,GIC,JP Morgan,Power Finance,Abu Dhabi Investment Authority,12
Course5 Intelligence,Analytics,Artificial Intelligence (AI),Mumbai,Maharashtra,Course5 is a data analytics and insights company focused on helping organizations drive digital transformation using AI.,400018,$100M to $500M,"Jan 1, 2000",www.course5i.com,—,,1001-5000,1,Private Equity,"May 18, 2023","$53,000,000",Private Equity,"$53,000,000",360 ONE Asset,Nuvama Private,Carnelian Asset Advisors,,,3
Dr Lal PathLabs,Biotechnology,Health Diagnostics,Haryana,Haryana,"Late Dr. (Major) S.K. Lal, a pioneer in the field of pathology who had been trained in the army and later at the Cook County Hospital,",122 001,—,1949,www.lalpathlabs.com,1,SK Lal,1001-5000,2,IPO,"Dec 7, 2015","$1,910,000,000",Venture - Series Unknown,"$1,944,114,453",Fidelity,State Bank of India,JP Morgan Chase,TA Associates,Reliance Capital,10
