company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
ConveGenius,E-Learning,Education,Noida,Uttar Pradesh,ConveGenius is an EdTech company that provides personalized and adaptive learning solutions to improve learning outcomes.,201301,$1M to $10M,2013,convegenius.in,2,Jairaj Bhattacharya,Shashank Pandey,251-500,5,Early Stage Venture,"Feb 9, 2024","₹ 15,00,00,000.00",Series A,"$ 1,49,91,586.00",Searce,Gray Matters Capital,Michael & Susan Dell Foundation,Heritas Capital,BAce Capital,10
JUSPAY,FinTech,Internet,Kormangala,Karnataka,Juspay is a developer of an online platform designed to be used for mobile-based payments.,560095,$10M to $50M,2012,juspay.in/,2,Ramanathan RV,Vimal Kumar,51-100,3,Late Stage Venture,"Dec 15, 2021","$ 6,00,00,000.00",Series C,"$ 8,74,20,684.00",Accel,VEF,Wellington Management,SoftBank Vision Fund,Ashish Hemrajani,7
Inshorts,Digital Media,Internet,Noida,Uttar Pradesh,"Inshorts is an aggregator app that summarizes news articles in 60 words and covers a wide-range of topics, including tech and business.",—,$10M to $50M,"Apr 1, 2013",www.inshorts.com/,3,Anunay Pandey,Azhar Iqubal,501-1000,9,—,"Jul 15, 2021","₹ 4,46,00,00,000.00",Venture - Series Unknown,"$ 16,48,54,004.00",Tiger Global Management,A91 Partners,Addition,Binny Bansal,Tanglin Venture Partners,10
NoBroker,Commercial Real Estate,Mobile Apps,Bengaluru,Karnataka,NoBroker is India's first and only proptech unicorn that is 100% brokerage free. It is a one stop shop for all property related needs.,560102,$1M to $10M,2014,www.nobroker.in,3,Akhil Gupta,Amit Agarwal,1001-5000,13,Late Stage Venture,"Mar 1, 2023","₹ 40,00,00,000.00",Series E,"$ 43,08,64,899.00",Google,General Atlantic,Elevation Capital,Tiger Global Management,Rocketship.vc,16
Livspace,E-Commerce,Furniture,Bengaluru,Karnataka,"Livspace is an home interiors and improvement that connects people to designers, services, and products.",560103,$100M to $500M,2014,www.livspace.com,3,Anuj Srivastava,Ramakant Sharma,1001-5000,10,Late Stage Venture,"Feb 7, 2022","₹ 13,43,00,00,000.00",Series F,"$ 43,15,77,146.00",Goldman Sachs,"Block, Inc.",IKEA,Bessemer Venture Partners,Jungle Ventures,19
The Souled Store,Apparel,E-Commerce,Mumbai,Maharashtra,The Souled Store is an online retailer that offers pop culture merchandise and apparel for fans.,400011,$1M to $10M,2013,www.thesouledstore.com,4,Aditya Sharma,Harsh Lal,251-500,4,Late Stage Venture,"Mar 28, 2023","₹ 1,35,00,00,000.00",Series C,"$ 2,94,30,444.00",Elevation Capital,Revant Bhate,Ramakant Sharma,Ashish Goel,Xponentia Capital Partners,10
RailYatri,Leisure,Mobile Apps,Noida,Uttar Pradesh,RailYatri's goal is to provide standardized & quality experiences during travel in India.,—,—,2014,RailYatri.in,3,Kapil Raizada,Manish Rathi,101-250,9,Late Stage Venture,"Feb 19, 2024","₹ 24,58,00,000.00",Series C,"$ 3,24,65,909.00",BlackSoil,Blume Ventures,Samsung Venture Investment,Omidyar Network,Google Launchpad Accelerator,10
HealthifyMe,Apps,Fitness,Bangalore,Karnataka,HealthifyMe is a health and fitness application that allows its users to track food and workouts.,560038,$1M to $10M,2012,www.healthifyme.com,3,Mathew Cherian,Sachin Shenoy,101-250,10,Late Stage Venture,"Jun 7, 2023","$ 3,00,00,000.00",Series D,"$ 13,01,40,312.00",LeapFrog Investments,Blume Ventures,Khosla Ventures,Finnfund,InnoVen Capital,25
Aye Finance,Finance,Financial Services,Gurgaon,Haryana,Aye Finance is a finance company that provides business loans to micro and small businesses.,122009,$50M to $100M,2014,www.ayefin.com,2,Sanjay Sharma,Vikram Jetley,1001-5000,29,Late Stage Venture,"Dec 13, 2023","₹ 3,10,00,00,000.00",Series F,"$ 66,54,65,536.00",State Bank of India,British International Investment,responsAbility Investments,Elevation Capital,Northern Arc,26
EazyDiner,Customer Service,E-Commerce,Gurgaon,Haryana,"EazyDiner provides a variety of restaurant services, such as discovery, reviews, deals, table bookings, and concierge services.",—,$10M to $50M,2014,www.eazydiner.com,5,Kapil Chopra,Manish Kutaula,101-250,8,Late Stage Venture,"Mar 29, 2023","₹ 40,00,00,000.00",Series C,"$ 2,08,73,749.00",DSG Consumer Partners,BEENEXT,Saama Capital,YWC Venture Capital,Denlow Investment Trust,7
Toppr,E-Learning,EdTech,Mumbai,Maharashtra,Toppr is an after-school learning app that provides learning courses and entrance exam tutoring.,400076,$1M to $10M,"Feb 4, 2013",www.toppr.com/,2,Hemanth Goteti,Zishaan Hayath,1001-5000,11,M&A,"Jul 29, 2020","₹ 3,50,00,00,000.00",Series D,"$ 11,20,87,670.00",Eight Roads Ventures,Elevation Capital,Alteria Capital,InnoVen Capital,Brand Capital,15
IDfy,FinTech,Fraud Detection,Mumbai,Maharashtra,IDfy is a people information company helping companies combat fraud by providing services such as background verifications.,400059,$1M to $10M,May-11,www.idfy.com/,3,Ashok Hariharan,Hatim Baheranwala,101-250,6,Late Stage Venture,"Oct 21, 2021","₹ 86,00,00,000.00",Series D,"$ 1,66,55,840.00",Blume Ventures,New Enterprise Associates,Trifecta Capital Advisors,Beenos Partners,Dream Incubator,9
MediBuddy,Health Care,Health Insurance,Bangalore,Karnataka,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",560 029,$10M to $50M,2013,www.medibuddy.in,2,Enbasekar Dinadayalane,Satish Kannan,1001-5000,7,M&A,"Aug 30, 2023","$ 1,80,00,000.00",Venture - Series Unknown,"$ 21,01,32,379.00",Stride Ventures,Quadria Capital,Bessemer Venture Partners,JAFCO Asia,Alteria Capital,13
WOW Skin Science,Beauty,Consumer Goods,Bengaluru,Karnataka,WOW Skin Science is a wellness and beauty brand that offers toxin-free facial care products.,560025,$10M to $50M,2014,www.buywow.in/,2,Karan Chowdhary,Manish Chowdhary,—,2,Private Equity,"May 18, 2022","$ 7,50,00,000.00",Private Equity,"$ 12,49,13,219.00",GIC,Chrys Capital,,,,2
Square Yards,Market Research,Real Estate,Gurgaon,Haryana,Square Yards is a India's largest Real Estate platform with presence in over 20 cities and 9 countries.,122011,$10M to $50M,2014,www.squareyards.com,2,Kanika Gupta,Tanuj Shori,5001-10000,6,Private Equity,"Jul 15, 2021","₹ 1,85,00,00,000.00",Private Equity,"$ 9,78,19,037.00",Singtel,Bennett Coleman and Co Ltd,Alto Partners Multi-Family Office,ADM Capital,Boon Hwee Koh,12
M2P Fintech,Developer APIs,Financial Services,Chennai,Tamil Nadu,M2P Fintech offers financial solutions and helps businesses offer financial services.,600016,$1M to $10M,2014,www.m2pfintech.com,3,Madhusudanan R,Muthukumar A(M2P),1001-5000,6,Late Stage Venture,"Sep 26, 2022","₹ 33,00,00,000.00",Series C,"$ 11,10,14,864.00",Visa,Insight Partners,Tiger Global Management,Better Capital,Flourish Ventures,22
Vedantu,E-Learning,EdTech,Bangalore,Karnataka,Vedantu is an interactive online tutoring platform for students.,560102,$10M to $50M,"Oct 29, 2011",www.vedantu.com/,4,Anand Prakash,Pulkit Jain,501-1000,11,Late Stage Venture,"Feb 24, 2022","$ 20,00,000.00",Series E,"$ 29,28,86,532.00",9Unicorns Accelerator Fund,Accel,TAL Education Group,Tiger Global Management,Omidyar Network,14
HealthPlix,Artificial Intelligence (AI),Health Care,Bangalore,Karnataka,HealthPlix is a digital health platform that uses AI technologies to support clinical decisions.,—,$1M to $10M,2014,healthplix.com,2,Raghuraj Sunder Raju,Sandeep Gudibanda,251-500,5,Late Stage Venture,"Mar 15, 2023","$ 2,00,00,000.00",Series C,"$ 4,45,23,899.00",BlackSoil,Lightspeed Venture Partners,Kalaari Capital,JSW Ventures,Chiratae Ventures,7
Chalo,Big Data,Information Services,Mumbai,Maharashtra,Chalo is a transportation technology startup offering a transportation app that delivers real-time transit information.,400706,$10M to $50M,2014,www.chalo.com,5,Dhruv Chopra,Mohit Dubey,101-250,9,Late Stage Venture,"May 22, 2023","$ 4,50,00,000.00",Series D,"$ 14,16,40,000.00",Matrix,Stride Ventures,Lightrock,Kalaari Capital,AdvantEdge Founders,14
Hike,Casual Games,Gaming,New Delhi,Delhi,Hike is a Social Gaming Platform.,110037,$10M to $50M,"Dec 12, 2012",hike.in/,1,Kavin Bharti Mittal,,101-250,9,—,"May 5, 2022",—,Venture - Series Unknown,"$ 26,10,00,000.00",SoftBank,Tencent,Titan Capital,Foxconn Technology Group,Tiger Global Management,24
Vistara,Aerospace,,Haryana,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),122001,$1B to $10B,"Nov 5, 2013",www.airvistara.com,—,,,1001-5000,2,Private Equity,"Sep 12, 2019","₹ 5,00,00,00,000.00",Private Equity,"₹ 25,00,00,00,000.00",Tata Sons,,,,,1
Droom,Automotive,B2B,Haryana,Haryana,Droom is a tech and data science-driven online automobile marketplace.,122015,$10M to $50M,2014,droom.in/,1,Sandeep Aggarwal,,251-500,8,—,"Jul 28, 2021","$ 20,00,00,000.00",Venture - Series Unknown,"$ 33,30,00,000.00",DG VENTURES,BEENEXT,Toyota Tsusho,Digital Garage (TSE: 4819),Lightbox,12
Avataar,3D Technology,Artificial Intelligence (AI),Bangalore,Karnataka,Avataar is an AI technology platform that offers AR solutions for e-commerce retailers.,560103,—,2014,avataar.ai,4,Gaurav Baid,Mayank Tiwari,251-500,2,Early Stage Venture,"Jan 7, 2022","$ 4,50,00,000.00",Series B,"$ 5,20,00,000.00",Tiger Global Management,Peak XV Partners,,,,2
Pee Safe,Consumer Goods,Fast-Moving Consumer Goods,Gurgaon,Haryana,"Started in 2013, Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.",122016,$1M to $10M,2013,www.peesafe.com,3,Dheeraj Jain,Srijana Bagaria,101-250,7,Early Stage Venture,"Sep 11, 2023","₹ 25,00,00,000.00",Series B,"$ 1,26,67,757.00",Venture Catalysts,Nikhil Kamath,Redcliffe Capital,Alkemi Venture Partners,Natco Pharma,22
Log 9 Materials,Battery,Manufacturing,Bengaluru,Karnataka,"Log 9 Materials specializes in the manufacturing, research, and development of nanotechnologies.",560054,$1M to $10M,2014,www.log9materials.com,3,Akshay Singhal,Kartik Hajela,Nov-50,8,Early Stage Venture,"Jan 17, 2023","₹ 91,25,00,000.00",Series B,"$ 3,16,61,289.00",Blume Ventures,Amara Raja Group,Omidyar Network,Surge,Trajectory Ventures,27
Mswipe Technologies,Financial Services,Payments,Mumbai,Maharashtra,"POS, Mobile POS, mPOS, Card Payment, Payment Solutions, mQR, QR code, Digital Payments, Card Swipping Machine, NFC Payment",400 013,$50M to $100M,"Mar 1, 2011",www.mswipe.com,1,Manish Patel,,5001-10000,9,—,"May 14, 2019",—,Venture - Series Unknown,"$ 9,74,67,607.00",Axis Bank,Ola,B Capital,Matrix Partners India,Alpha Wave Global,14
Petpooja,Food and Beverage,Hospitality,Ahmedabad,Gujarat,Petpooja offers the platform for restaurant POS management system.,380015,$1M to $10M,"May 19, 2011",www.petpooja.com,2,Apurv Patel,Parthiv Patel,1001-5000,3,Early Stage Venture,"Nov 15, 2021","$ 45,00,000.00",Series B,"$ 88,63,951.00",Udaan,GVFL,Aroa Ventures,Mayur Desai,Trustroots,5
Happay,Financial Services,FinTech,Whitefield,Karnataka,Happay is an AI-powered business expense management software that enables businesses to automate their expense management process.,560066,$1M to $10M,2012,www.happay.com,2,Anshul Rai,Varun Rathi,251-500,7,M&A,"May 27, 2019","₹ 20,77,00,000.00",Venture - Series Unknown,"$ 2,15,56,985.00",Sequoia Capital,Prime Venture Partners,AME Cloud Ventures,Greyhound Capital,Brad Garlinghouse,8
Blue Tokai Coffee Roasters,Coffee,Consumer Goods,Delhi,Delhi,Blue Tokai Coffee Roasters is a specialty coffee company specializing in roasted coffee sales through its online marketplace.,110030,$100M to $500M,2013,bluetokaicoffee.com,3,Matt Chitharanjan,Namrata Asthana,1001-5000,10,Early Stage Venture,"Sep 15, 2023",—,Series B,"$ 4,55,63,228.00",A91 Partners,Anicut Capital,Negen Capital Services,8i Ventures,KA Enterprises,11
Atomberg Technology,Consumer Electronics,Energy Efficiency,Mumbai,Maharashtra,Atomberg Technology is a manufacturer of smart and energy-efficient household appliances.,400710,$50M to $100M,"Apr 17, 2012",atomberg.com,2,Manoj Meena,Sibabrata Das,251-500,8,Late Stage Venture,"May 29, 2023","$ 8,60,00,000.00",Series C,"$ 12,64,94,635.00",Temasek Holdings,Jungle Ventures,A91 Partners,Whiteboard Capital,Steadview Capital,13
Burger Singh,Food and Beverage,Food Delivery,Gurgaon,Haryana,Burger Singh is an India-based online food ordering web application.,122002,$1M to $10M,2014,burgersinghonline.com/,3,Kabir Jeet Singh,Nitin Rana,101-250,5,Early Stage Venture,"Dec 14, 2023",—,Series B,"$ 50,99,694.00",LetsVenture,Mumbai Angels,Sprint Vc,RB Investments Pte. Ltd.,Ashvin Chadha,27
Bounce,Last Mile Transportation,Recreational Vehicles,Bangalore,Karnataka,Bounce is a transportation company providing scooter rentals.,560078,$1M to $10M,2014,bounceshare.com,3,Anil G,Varun Agni,501-1000,10,—,"Jan 30, 2023","₹ 1,63,00,00,000.00",Venture - Series Unknown,"$ 23,41,56,785.00",Accel,B Capital,Alpha Wave Global,Omidyar Network,Navi Technologies,17
Portea Medical,Health Care,Home Health Care,Bangalore,Karnataka,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,560071,$100M to $500M,2013,www.portea.com,6,Ganesh Krishnan,Karan Aneja,1001-5000,6,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 7,60,66,894.00",Accel,VenturEast,International Finance Corporation,Manipal Group,Alteria Capital,10
AgroStar,Agriculture,AgTech,Pune,Maharashtra,"Founded in 2013, AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.",400005,$50M to $100M,"Mar 10, 2013",www.corporate.agrostar.in/,2,Shardul Sheth,Sitanshu Sheth,1001-5000,10,—,"May 1, 2023","$ 5,04,930.00",Venture - Series Unknown,"$ 11,28,84,002.00",Titan Capital,Accel,British International Investment,Aavishkaar Venture Capital,International Finance Corporation,14
Ecom Express,Delivery,E-Commerce,New Delhi,Delhi,"Ecom Express is a logistics solutions company that allows for customization, scalability, and delivery service processing.",110037,$50M to $100M,Jan-12,www.ecomexpress.in/,4,K. Satyanarayana,Manju Dhawan,10001,8,—,"Jun 1, 2023","$ 14,00,000.00",Venture - Series Unknown,"$ 52,57,92,829.00",Partners Group,British International Investment,Warburg Pincus,CDC Group,Peepul Capital LLC,5
Blubirch,Information Technology,Logistics,Bengaluru,Karnataka,Blubirch is the creator of a reverse supply chain management platform.,560082,$1M to $10M,2014,www.blubirch.com,1,Sapan Jain,,101-250,2,Early Stage Venture,"Oct 25, 2023","₹ 53,00,00,000.00",Series A,"$ 83,73,881.00",Cornerstone Venture Partners Fund,Capital 2B,Sanjay Mehta,Chicago Venture Capital,,4
Avanse Financial Services,Education,Finance,Mumbai,Maharashtra,Avanse is an education-focused non-banking financial company that offers low-interest education loans to Indian students.,400099,$1M to $10M,2013,www.avanse.com,1,Amit Gainda,,251-500,6,M&A,"Jan 19, 2023","₹ 8,00,00,00,000.00",Private Equity,"$ 25,49,49,118.00",Northern Arc,International Finance Corporation,Kedaara Capital,WorldBusiness Capital,Olive Vine Investment,5
Clientjoy,Consulting,Digital Marketing,Ahmedabad,Gujarat,Clientjoy offers Client Life-Cycle Management Software for Freelancers and Agencies.,382481,$1M to $10M,"Nov 26, 2013",clientjoy.io,4,Abhishek Doshi,Anupama Panchal,Nov-50,5,M&A,"Nov 9, 2020","$ 8,00,000.00",Seed,"$ 9,30,000.00",Indian Angel Network,LetsVenture,IIMA Ventures,Angel Investor Forum,GVFL,6
FreshMenu,Delivery,Food and Beverage,Bengaluru,Karnataka,FreshMenu offers food delivery service that provides fresh and tasty cuisines of the highest standard.,—,$100M to $500M,2014,freshmenu.com/,1,Rashmi Daga,,501-1000,8,Late Stage Venture,"Apr 24, 2022","₹ 50,00,00,000.00",Series C,"$ 3,23,76,734.00",Lightspeed Venture Partners,Lightspeed India Partners,InnoVen Capital,Brand Capital,Zodius Capital,9
E42,Artificial Intelligence (AI),Enterprise Software,Pune,Maharashtra,E42 is a no-code Cognitive Process Automation platform to build AI co-workers that automate enterprise processes across functions at scale.,411014,$10M to $50M,Apr-12,e42.ai/,3,Animesh Samuel,Sanjeev Menon,51-100,6,Early Stage Venture,"Oct 26, 2021","$ 54,00,000.00",Series A,"$ 76,60,000.00",Brand Capital,Pavestone Capital,Target Accelerators,JioGenNext,NB Ventures,6
