company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
BigHaat,Agriculture,AgTech,Bangalore,Karnataka,BigHaat is an agriculture e-commerce startup focusing on providing quality Agri - inputs and information.,560078,$1M to $10M,2015,www.bighaat.com,3,Raj Kancham,Sachin Nandwana,Sateesh Nukala,251-500,8,Late Stage Venture,"Feb 7, 2024","₹ 69,50,00,000.00",Series C,"$ 2,44,39,050.00",Rupaben Shailesh Mehta,Rohhan Viren Joshi,Anshul Anil Goel,VPK Global,Advik Tecnocommercial,16
Licious,Delivery Service,E-Commerce,Bengaluru,Karnataka,Licious is an online meat and seafood ordering startup that follows an end-to-end business.,560038,$100M to $500M,2015,www.licious.in,3,Abhay Hanjura,Varun Sadana,Vivek Gupta,1001-5000,10,Late Stage Venture,"Mar 15, 2022","₹ 11,46,00,00,000.00",Series F,"$ 48,99,27,443.00",IIFL Finance,Temasek Holdings,Vertex Ventures,3one4 Capital,Gruhas,33
Country Delight,Agriculture,Delivery Service,Sohna,Haryana,Country Delight produces and distributes cow and buffalo milk directly to customers' doorsteps.,122001,$10M to $50M,2015,countrydelight.in,2,Chakradhar Gade,Nitin Kaushal,,501-1000,12,Late Stage Venture,"Jan 5, 2024","₹ 1,64,40,00,000.00",Series E,"$ 17,79,29,865.00",Elevation Capital,Matrix,Temasek Holdings,Matrix Partners India,Alteria Capital,13
Ninjacart,AgTech,B2B,Bengaluru,Karnataka,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",560095,$500M to $1B,Jul-15,ninjacart.com/,7,Ashutosh Vikram,Kartheeswaran K K,Sachin Jose,1001-5000,15,Late Stage Venture,"May 18, 2022","₹ 69,80,00,000.00",Series D,"$ 35,76,24,581.00",Walmart,Flipkart,Accel,Tiger Global Management,Shinhan Venture Investment,24
Swiggy,Delivery,Food and Beverage,Bangalore,Karnataka,Swiggy is a food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,700091,$100M to $500M,"Aug 1, 2014",www.swiggy.com,4,Nandan Reddy,Phani Kishan Addepalli,Rahul Jaimini,10001,15,Late Stage Venture,"Jan 24, 2022","$ 70,00,00,000.00",Series J,"$ 3,57,65,00,000.00",Meituan,Tencent,Invesco,Goldman Sachs,Accel,42
CARS24,Artificial Intelligence (AI),Automotive,Gurgaon,Haryana,CARS24 offers a tech-enabled marketplace for buying and selling pre-owned cars.,122003,$100M to $500M,2015,www.cars24.com,4,Gajendra Jangid,Mehul Agrawal,Ruchit Agarwal,1001-5000,16,Late Stage Venture,"Dec 20, 2021","₹ 22,80,00,00,000.00",Series G,"$ 1,31,77,30,249.00",Alibaba Group,Tencent,500 Global,Vivriti Capital,Alpha Wave Global,37
Darwinbox,Artificial Intelligence (AI),Enterprise Software,Hyderabad,Andhra Pradesh,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate the entire employee lifecycle in one HR platform.,500033,$10M to $50M,2015,darwinbox.com,3,Chaitanya Peddi,Jayant Paleti,Rohit Chennamaneni,251-500,9,Late Stage Venture,"Jan 4, 2023","₹ 40,82,00,000.00",Series D,"$ 11,59,15,502.00",Microsoft,Sequoia Capital,State Bank of India,TCV,3one4 Capital,14
Simpl,E-Commerce,Financial Services,Bangalore,Karnataka,Simpl is a fintech company that offers a cardless payment network with multiple solutions for merchants and consumers.,560038,Less than $1M,2015,getsimpl.com/,2,Chaitra Chidanand,Nityanand Sharma,,501-1000,6,Early Stage Venture,"Nov 30, 2021","$ 4,00,00,000.00",Series B,"$ 7,17,00,000.00",FJ Labs,Valar Ventures,Franklin Templeton,Green Visor Capital,The Fintech Fund,10
Garuda Aerospace,Aerospace,Drones,Chennai,Tamil Nadu,Garuda Aerospace is a human-centric company that develops unmanned aerial vehicles or drones for the defense and aerospace sectors.,—,$50M to $100M,2015,www.garudaaerospace.com,2,Agnishwar Jayaprakash,Rithika Mohan,,251-500,5,Early Stage Venture,"Oct 25, 2023","₹ 25,00,00,000.00",Series A,"$ 3,00,89,603.00",Venture Catalysts,We Founder Circle,HEM ANGELS,Mahendra Singh Dhoni,Sphiticap,8
Magicpin,Advertising,E-Commerce,Gurgaon,Haryana,Magicpin is a platform that allows its users to shop and interact with those around them.,122001,$1M to $10M,2015,magicpin.in/magic/index.php,3,Abhishek Awasthi,Anshoo Sharma,Brij Bhushan,501-1000,9,Late Stage Venture,"Nov 10, 2021","$ 6,00,00,000.00",Series D,"$ 10,48,84,162.00",Zomato,Lightspeed Venture Partners,Peak XV Partners,Samsung Venture Investment,Lightspeed India Partners,16
