company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Inflection Point Ventures,Business Development,Financial Services,Gurgaon,Haryana,Inflection Point Ventures is an early stage angel investing platform that provides both monetary and non-monetary support to the startups.,122018,$10M to $50M,2017,ipventures.in/,8,Ankur Mittal,Dipanjan Basu,101-250,1,Early Stage Venture,"Jun 20, 2020","$ 55,00,000.00",Series B,"$ 55,00,000.00",—,,,,
cult.fit,Apps,Fitness,Bangalore,Karnataka,"cult.fit is a health and fitness company offering digital and offline experiences across fitness, nutrition, and mental well-being.",560102,$10M to $50M,"Jul 1, 2016",www.cult.fit,2,Ankit Nagori,Mukesh Bansal,101-250,11,Late Stage Venture,"Nov 9, 2021","$ 14,50,00,000.00",Series F,"$ 62,45,75,960.00",38,HDFC Bank,Zomato,Accel,Temasek Holdings
ANAROCK,Consulting,Real Estate,Mumbai,Maharashtra,"ANAROCK is a real estate consultancy firm that offers consulting, research, advisory, and brokerage services.",400 051,—,2017,www.anarock.com,2,Anuj Puri,Rohin Shah,1001-5000,1,Private Equity,"Feb 5, 2024","₹ 2,00,00,00,000.00",Private Equity,"₹ 2,00,00,00,000.00",1,,,,
AmberStudent,Internet,Real Estate,Pune,Maharashtra,Long-term accommodation booking platform for students across the globe,411006,—,2016,amberstudent.com,3,Abhimanyu Dhamija,Madhur Gujar,251-500,4,Private Equity,"Feb 12, 2024","$ 1,85,00,000.00",Private Equity,"$ 2,10,00,000.00",5,Klub,Stride Ventures,Lighthouse Canton,Gaja Capital
InCred,Banking,Consumer Lending,Mumbai,Maharashtra,InCred is a financial services platform that leverages technology and data-science to make lending quick and easy.,400051,$10M to $50M,2016,www.incred.com,1,Bhupinder Singh,,1001-5000,9,Late Stage Venture,"Nov 9, 2023","₹ 5,00,00,00,000.00",Series D,"$ 31,44,37,497.00",21,Varanium Capital Advisors,Moore Strategic Ventures,Alpha Capital,Asas Capital
Pure EV,Automotive,Battery,Hyderabad,Andhra Pradesh,Pure EV is a motor vehicle company that develops e-mobility and energy storage systems for the EV industry.,—,$10M to $50M,2016,www.pureev.in,2,Nishanth Dongari,Rohit Vadera,251-500,2,—,"Feb 19, 2024","₹ 66,00,00,000.00",Venture - Series Unknown,"$ 4,29,53,703.00",4,Bennett Coleman and Co Ltd,Hindustan Media Venture,V.C. Nannapaneni,
Addverb,Industrial Automation,Information Technology,Noida,Uttar Pradesh,Addverb is a robotics company that delivers automation solutions to improve intralogistics operations.,201310,$10M to $50M,"Jun 24, 2016",www.addverb.com,6,Amit Kumar,Bir Singh,501-1000,1,M&A,"Feb 15, 2022","$ 13,20,00,000.00",Series B,"$ 13,20,00,000.00",1,,,,
Acko,Auto Insurance,Health Insurance,Mumbai,Maharashtra,Acko is a general insurance company that offers insurance products for people working in the transportation and healthcare sectors.,400063,$10M to $50M,2016,www.acko.com,2,Ruchi Deepak,Varun Dua,501-1000,8,Private Equity,"Jun 7, 2023",—,Private Equity,"$ 45,80,00,000.00",21,Accel,General Atlantic,Lightspeed Venture Partners,Canada Pension Plan Investment Board
Farmley,Food and Beverage,Plant-Based Foods,Noida,Uttar Pradesh,Farmley is a snack food company that specializes in dry fruits and nuts.,201303,$1M to $10M,2017,www.farmley.com,2,Abhishek Agarwal,Akash Sharma,101-250,4,Early Stage Venture,"Dec 17, 2023","₹ 56,00,00,000.00",Series B,"$ 1,44,20,936.00",8,DSG Consumer Partners,Harshil Mathur,Alkemi Venture Partners,Insitor Partners
Fyle,Accounting,Business Information Systems,Bengaluru,Karnataka,Fyle offers real-time expense management software for smbs on credit cards they already have.,—,$10M to $50M,"Feb 16, 2016",www.fylehq.com,2,Sivaramakrishnan Narayanan,Yashwanth Madhusudan,101-250,5,Early Stage Venture,"Oct 3, 2019","$ 45,00,000.00",Series A,"$ 1,03,61,312.00",10,Tiger Global Management,BEENEXT,Steadview Capital,Pravega Ventures
Kuvera.in,Commercial,Financial Services,Bangalore,Karnataka,An online platform for mutual fund investments.,—,Less than $1M,2016,kuvera.in/,1,Gaurav Rastogi,,01-Oct,2,M&A,"Apr 16, 2019","$ 45,00,000.00",Series A,"$ 47,50,000.00",5,Fidelity International Strategic Ventures,Baskar Subramanian,Ankit Kesarwani,Gaurav Suri
GoMechanic,Automotive,Customer Service,Gurgaon,Haryana,GoMechanic provides an online car servicing platform that helps users schedule various car services including maintenance and detailing.,122008,$10M to $50M,"Apr 14, 2016",gomechanic.in,4,Amit Bhasin,Kushal Karwa,251-500,8,M&A,"Nov 8, 2023","₹ 50,00,00,000.00",Series C,"$ 6,08,57,618.00",16,Venture Catalysts,Tiger Global Management,Stride Ventures,Gensol Engineering
Amaha (formerly InnerHour),Health Care,Mental Health,Mumbai,Maharashtra,Amaha is a tech-led omnichannel mental health platform solving the 95% treatment gap in mental health in India,400059,—,2016,www.amahahealth.com/,2,Amit Malik,Neha Kirpal,101-250,4,Early Stage Venture,"Jan 9, 2024","₹ 50,00,00,000.00",Series A,"$ 1,16,64,578.00",10,Fireside Ventures,Lightbox,Ventureworks India,Hitesh Oberoi
Vyapar App,Accounting,FinTech,Bangalore,Karnataka,Vyapar is a fully GST-compatible business accounting software aimed at simplifying the daily activities of micro & small businesses.,—,$10M to $50M,"Dec 11, 2015",vyaparapp.in,2,Shubham Agrawal,Sumit Agarwal,501-1000,2,Early Stage Venture,"Jan 26, 2022","₹ 2,24,00,00,000.00",Series B,"$ 3,48,23,909.00",5,Westbridge Capital,Axilor Ventures,India Quotient,FortyTwo VC
Fittr,Fitness,Health Care,Pune,Maharashtra,"Fittr is a health and wellness startup offering personalized online coaching in fitness and nutrition, plus tailored training sessions.",—,$1M to $10M,2016,www.fittr.com/,5,Bala Krishna Reddy Dabbedi,Jitendra Chouksey,101-250,4,—,"Jan 8, 2024","₹ 28,00,00,000.00",Venture - Series Unknown,"$ 1,68,42,859.00",5,Surge,Elysian Park Ventures,Suniel Shetty,Dream Capital
