company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
AstroTalk,Consulting,Digital Entertainment,Noida,Uttar Pradesh,"AstroTalk is a platform to consult best Astrologers of India online, on-call, or through chat.",201301,—,"Oct 18, 2017",astrotalk.com/,1,Puneet Gupta,101-250,1,Early Stage Venture,"Feb 6, 2024","₹ 1,63,00,00,000.00",Series A,"₹ 1,63,00,00,000.00",Left Lane Capital,1,,,,,
Fasal,Agriculture,AgTech,Bengaluru,Karnataka,Fasal is an AI-powered IoT-SaaS platform for horticulture that simplifies the process of cultivating crops.,560008,Less than $1M,"Jan 11, 2018",fasal.co,5,Ananda Verma,51-100,8,Early Stage Venture,"Dec 22, 2023","₹ 1,00,00,00,000.00",Series A,"$ 1,39,51,090.00",Animoca Brands,20,Dhaval Chaudhary,Artesian VC,ITI Growth Opportunities Fund,British International Investment,Omnivore
Zupee,Apps,Digital Entertainment,Gurgaon,Haryana,Zupee is an online gaming company that develops real money-earning skill-based games.,122016,$10M to $50M,2018,www.zupee.com/,2,Dilsher Singh,101-250,5,Early Stage Venture,"Jan 5, 2022","$ 7,20,00,000.00",Series B,"$ 12,09,99,708.00",Alpha Wave Global,8,Siddhant Saurabh,Matrix Partners India,Orios Venture Partners,Tomales Bay Capital,Smile Group
OTO Capital,Automotive,Finance,Mumbai,Maharashtra,OTO Capital is a digital commerce and lending platform that provides affordable plans to purchase motor bicycles.,400076,$1M to $10M,2018,otocapital.in,2,Harsh Saruparia,251-500,7,—,"Feb 6, 2024","₹ 83,00,00,000.00",Venture - Series Unknown,"$ 2,03,31,221.00",500 Global,20,Sumit Chhazed,Venture Catalysts,9Unicorns Accelerator Fund,Matrix Partners India,Stride Ventures
Metafin,CleanTech,Financial Services,Parel,Maharashtra,Metafin is an operator of a non banking financial company intended to offer cleantech focused lending services for retail customers.,400013,—,2018,www.metafin.in/,—,,—,2,Early Stage Venture,"Feb 7, 2024","₹ 42,00,00,000.00",Series A,"₹ 44,00,00,000.00",Venture Catalysts,3,,Prime Venture Partners,Varanium Capital Advisors,,
Leverage Edu,Artificial Intelligence (AI),Career Planning,New Delhi,Delhi,AI-enabled marketplace designed to help students with their higher education and career growth plans,110001,$100M to $500M,Apr-17,www.leverageedu.com,1,Akshay Chaturvedi,51-100,10,Late Stage Venture,"Jul 3, 2023","$ 2,50,00,000.00",Series C,"$ 7,37,73,326.00",9Unicorns Accelerator Fund,52,,Mankind Pharma,Blume Ventures,Sprint Vc,Peyush Bansal
Karkhana.io,3D Printing,Manufacturing,Mumbai,Maharashtra,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,—,$1M to $10M,2018,karkhana.io/,1,Sonam Motwani,Nov-50,3,Early Stage Venture,"Jan 9, 2024","$ 63,00,000.00",Series A,"$ 78,00,000.00",Arkam Ventures,4,,Vertex Ventures Southeast Asia & India,SIG venture capital,Zone Startups In,
Noccarc,Health Care,Manufacturing,Pune,Maharashtra,Noccarc is a medical device company revolutionizing healthcare with smart medical devices and a digital platform to improve patient outcomes,411026,—,"Apr 24, 2017",noccarc.com/,2,Harshit Rathore,51-100,3,Seed,"Feb 13, 2024","₹ 16,60,00,000.00",Seed,"₹ 32,94,00,000.00",Indian Angel Network,6,Nikhil Kurele,SIDBI Venture Capital,Indian Institute of Technology Kanpur,IAN Fund,"Technology Development Board, Government of India"
VRO Hospitality,Hospitality,Hotel,Bangalore,Karnataka,"VRO Hospitality operates multi-format restaurants, cafes, and lounges across 18 outlets in Bengaluru.",560008,$100M to $500M,2018,vrohospitality.com/,3,Dawn Thomas,501-1000,4,—,"Jan 2, 2024","$ 1,00,00,000.00",Venture - Series Unknown,"$ 1,30,33,836.00",Axis Bank,8,Safdar Adhoor,Gruhas,Kunal Shah,UC Inclusive Credit,NB Ventures
Bookingjini,Hospitality,Information Technology,Bhubaneswar,Orissa,Bookingjini helps hotels to grow their revenue and productivity by providing them unique solutions.,751015,Less than $1M,"Jan 6, 2017",bookingjini.com,4,Deepak Dash,51-100,6,Seed,"Jan 25, 2024",—,Seed,"$ 38,67,885.00",Inflection Point Ventures,3,Gourab Kumar Nandy,Mumbai Angels,Apurva Salarpuria,,
Khatabook,Accounting,Financial Services,Bangalore,Karnataka,Khatabook is the fintech startup that provides a digital ledger app targeted primarily at small businesses.,560102,$10M to $50M,2018,khatabook.com,5,Ashish Sonone,101-250,5,Late Stage Venture,"Aug 24, 2021","₹ 7,43,00,00,000.00",Series C,"$ 18,67,08,974.00",Tencent,41,Dhanesh Kumar,Titan Capital,Y Combinator,Alpha Wave Global,Surge
Zypp Electric,Clean Energy,Delivery Service,Gurgaon,Haryana,Zypp Electric is an EV delivery app that operates in the last-mile space.,122003,$1M to $10M,"Aug 8, 2017",www.zypp.app,3,Akash Gupta,251-500,13,Early Stage Venture,"Feb 8, 2023","$ 2,50,00,000.00",Series B,"$ 7,55,93,101.00",Grip Invest,31,Rashi Agarwal,9Unicorns Accelerator Fund,Gogoro,Venture Catalysts,We Founder Circle
Toothsi,Dental,Health Care,Mumbai,Maharashtra,Toothsi provides clear aligners and oral care products to help straighten teeth and improve oral health.,400083,$10M to $50M,2018,toothsi.in,4,Anirudha Kale,501-1000,5,Late Stage Venture,"May 1, 2022","$ 4,00,00,000.00",Series C,"$ 8,69,93,947.00",IIFL Finance,17,Arpi Mehta,Eight Roads Ventures,Stride Ventures,Ramakant Sharma,Paramark Ventures
CRED,Credit Cards,Financial Services,Bangalore,Karnataka,CRED is a fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,560038,$100M to $500M,2018,www.cred.club,1,Kunal Shah,501-1000,9,Late Stage Venture,"Jun 9, 2022","₹ 6,17,00,00,000.00",Series F,"$ 80,14,92,149.00",General Catalyst,33,,Rainmatter Capital,Insight Partners,Alpha Wave Global,Hillhouse Investment
Grow Indigo,Agriculture,AgTech,Mumbai,Maharashtra,Grow Indigo develops a digital platform that provides biological and digital solutions to farmers for agriculture.,—,—,2018,www.growindigo.co.in,—,,251-500,2,—,"Jan 27, 2024","₹ 67,00,00,000.00",Venture - Series Unknown,"$ 1,40,60,858.00",Indigo,2,,Mahyco Seeds Ltd.,,,
Snitch,Fashion,Marketing,Bangalore,Karnataka,Snitch is a men's fast fashion clothing brand that primarily sells its products online.,560027,$10M to $50M,2018,www.snitch.co.in,1,Siddharth Dungarwal,Nov-50,2,Early Stage Venture,"Dec 13, 2023","₹ 1,10,00,00,000.00",Series A,"₹ 1,11,50,00,000.00",IvyCap Ventures,8,,SWC Global,Anupam Mittal,Aman Gupta,Peyush Bansal
Riskcovry,Insurance,InsurTech,Juhu,Maharashtra,Riskcovry is a SaaS platform that distributes insurance products for businesses and individuals.,400049,$1M to $10M,2018,riskcovry.com,—,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/riskcovry,https://www.crunchbase.com/person/chiranth-patil-4b9b,101-250,4,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/riskcovry,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/riskcovry,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/riskcovry,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/riskcovry,Sorabh Bhandari,Suvendu Prusty,",,,,",https://www.crunchbase.com/organization/omidyar-network-india-050e
Mobile Premier League,eSports,Gaming,Bengaluru,Karnataka,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,560103,$500M to $1B,2018,www.mpl.live,3,Sai Srinivas Kiran G,251-500,6,Late Stage Venture,"Sep 15, 2021","$ 15,00,00,000.00",Series E,"$ 37,55,00,000.00",Gaingels,21,Shubh Malhotra,Sequoia Capital,MDI Ventures,Pegasus Tech Ventures,Telstra Ventures
INDmoney,Financial Services,FinTech,Gurgaon,Haryana,INDmoney is a mobile app that consolidates and manages finances in one place.,122005,$10M to $50M,2018,www.indmoney.com,1,Ashish Kashyap,251-500,5,Late Stage Venture,"Mar 28, 2022","$ 1,10,00,000.00",Series D,"$ 15,38,91,230.00",Tiger Global Management,11,,Dragoneer Investment Group,Steadview Capital,Ashish Kashyap,Peyush Bansal
Lokal,Communities,Content,Bengaluru,Karnataka,"Lokal is a hyperlocal social media platform that enables users to share, interact and transact in their regional language.",560095,$1M to $10M,2018,www.getlokalapp.com,2,Jani Pasha,101-250,7,Early Stage Venture,"Apr 25, 2023","₹ 1,20,00,00,000.00",Series B,"$ 2,97,85,602.00",Tencent,13,Vipul Chaudhary,Global Brain Corporation,Google for Startups,Y Combinator,Soma Capital
fleetx.io,Analytics,Artificial Intelligence (AI),Gurgaon,Haryana,Fleetx is an intelligent fleet management platform that helps fleet owners improve their efficiency.,122018,$1M to $10M,Jul-17,www.fleetx.io,5,Abhay Jeet Gupta,101-250,5,Early Stage Venture,"Feb 22, 2022","₹ 1,45,00,00,000.00",Series B,"$ 2,60,80,095.00",IndiaMART,16,Parveen Kataria,Titan Capital,LetsVenture,First Cheque,BEENEXT
