CID,Company
CID1,Ugees
CID2,Woovly Shop Socially
CID3,Fibmold Packaging
CID4,3EV Industries
CID5,Vivifi India
CID6,PatilKaki
CID7,Aakash Educational Services
CID8,Beyond Odds
CID9,Supplynote
CID10,Ergos
CID11,Proost69
CID12,Vegapay
CID13,BlackLight Studio Works
CID14,Finayo
CID15,Ethereal Machines
CID16,Game Theory
CID17,Hogr
CID18,Done Deal
CID19,Blitz
CID20,Wiom
CID21,Voiceowl
CID22,altM
CID23,Proxgy
CID24,Shyam Metalics and Energy
CID25,Evify
CID26,Pepperfry
CID27,Nat Habit
CID28,Settlin
CID29,Manastu Space
CID30,Amaha (formerly InnerHour)
CID31,Navadhan Capital
CID32,FruBon
CID33,Prabhu Bhakti
CID34,Meesho
CID35,Maidaan
CID36,VECROS
CID37,Country Delight
CID38,Pandorum Technologies
CID39,Larkai Healthcare
CID40,Freight Tiger
CID41,Jimmy's Cocktails
CID42,Mufin Green Finance
CID43,Bolt.Earth
CID44,VerSe Innovation
CID45,Ola Electric
CID46,ControlZ
CID47,Offside
CID48,KathaVersse Media Network
CID49,Wootz.work
CID50,GrowXCD Finance
CID51,Vidyut
CID52,Ayekart Fintech
CID53,Metalbook
CID54,Push Sports
CID55,OTO Capital
CID56,Chefling
CID57,SpiceJet Limited
CID58,NEPRA Resource Management
CID59,RailYatri
CID60,Noccarc
CID61,Alt Mobility
CID62,PocketATM
CID63,Oopar.Club
CID64,Induced AI
CID65,Beyoung
CID66,Segwise
CID67,Khyaal
CID68,FOIP
CID69,Neodocs
CID70,mirrAR
CID71,Wildfloc Adventures
CID72,Digantara
CID73,Fasal
CID74,Zomato
CID75,Myna Mahila Foundation
CID76,Pratech Brands
CID77,Grip Invest
CID78,AmberStudent
CID79,Stan
CID80,Crux
CID81,HyugaLife
CID82,Scandalous Foods
CID83,RailYatri
CID84,JSW Infrastructure
CID85,Krutrim
CID86,Kushal's
CID87,Kushal's
CID88,BigHaat
CID89,Settl.
CID90,Toffee Coffee Roasters
CID91,Burger Singh
CID92,Airblack
CID93,Confidence Group
CID94,Mokobara
CID95,SWIRL
CID96,Dream Sports
CID97,VRO Hospitality
CID98,DevX
CID99,Vegrow
CID100,Auxilo
CID101,Serentica Renewables
CID102,Aye Finance
CID103,Tork Motors
CID104,Lohum
CID105,SportVot
CID106,Metafin
CID107,Captain Fresh
CID108,EquityList
CID109,BluSmart Mobility
CID110,Glamplus
CID111,Proost69
CID112,Cello
CID113,SK Finance
CID114,Udaan
CID115,Onsurity
CID116,Exponent Energy
CID117,QuID Cash
CID118,Stackr Labs
CID119,ELIVAAS
CID120,Scrut Automation
CID121,Clinikally
CID122,InCred
CID123,kitchens@
CID124,ANAROCK
CID125,Papa Pawsome
CID126,AstroTalk
CID127,ConveGenius
CID128,Scandalous Foods
CID129,Ivory
CID130,Wiz Freight
CID131,MakeO
CID132,Finhaat
CID133,DigitalPaani
CID134,Mufin Green Finance
CID135,Zepto
CID136,Fixerra
CID137,AmberStudent
CID138,Offline
CID139,ONGC Videsh
CID140,EMotorad
CID141,Perfios Software Solutions
CID142,INDRA
CID143,UrjanovaC
CID144,Conscious Chemist
CID145,Wow! Momo
CID146,BluSmart Mobility
CID147,Rite Water Solutions
CID148,Torus Robotics
CID149,Salty
CID150,P-TAL
CID151,Accio Robotics
CID152,Aquaconnect
CID153,IDC KITCHEN
CID154,Dressfolk
CID155,HouseEazy
CID156,Crepdog Crew
CID157,Blue Jet Healthcare
CID158,AgroMorph
CID159,CENTA
CID160,Susstains
CID161,FinAGG
CID162,Happi Planet
CID163,Zaggle
CID164,BuyEazzy
CID165,Baaz Bikes
CID166,EloElo
CID167,JEH Aerospace
CID168,Scapia
CID169,Raptee Energy
CID170,Breathe ESG
CID171,InsuranceDekho
CID172,FlexifyMe
CID173,VoiceClub
CID174,Redrob
CID175,Weisdom FutureTech
CID176,SquadStack
CID177,Perfora
CID178,Farmley
CID179,GeoIQ.io
CID180,Iluvia
CID181,ConveGenius
CID182,Agnikul
CID183,PlasmaGen Biosciences
CID184,Aliste Technologies
CID185,ESCROWPAY
CID186,Yatra
CID187,Bharat Housing Network
CID188,Terra Food Co.
CID189,Kiwi
CID190,Gabit
CID191,Blue Star
CID192,Nazara Technologies
CID193,Medial
CID194,InPrime Finserv
CID195,Pilgrim
CID196,Setu Nutrition
CID197,Flash.co
CID198,Showroom B2B
CID199,KisanKonnect
CID200,Ascend Capital
CID201,NeuroPixel.AI
CID202,Keus
CID203,Vaaree
CID204,Zolve
CID205,Reliance Jio
CID206,Wishlink
CID207,Sugar.fit
CID208,SAMHI Hotels
CID209,Sarvam AI
CID210,Blackopal Group
CID211,Knocksense
CID212,boAt
CID213,Grow Indigo
CID214,DevDham
CID215,BluSmart Mobility
CID216,Religare
CID217,ZappFresh
CID218,Fairdeal Market
CID219,Inoxwind
CID220,Newme
CID221,FlexiLoans
CID222,SuperOps.ai
CID223,Pep
CID224,PolicyBazaar
CID225,Optimizers
CID226,Alt Carbon
CID227,AquaExchange
CID228,Garuda Aerospace
CID229,AltUni
CID230,Zingavita
CID231,Bharatsure
CID232,Frendy
CID233,BatX Energies
CID234,RateGain
CID235,Jiraaf
CID236,PierSight Space
CID237,Sai Silks (Kalamandir)
CID238,Karkhana.io
CID239,MyMuse India
CID240,Koparo Clean
CID241,Pratech Brands
CID242,Fittr
CID243,Euler Motors
CID244,Cashinvoice
CID245,EtherealX
CID246,ofScale
CID247,Disprz
CID248,Suzhiyam Industrial Machines
CID249,VAMA
CID250,General Autonomy
CID251,CureBay
CID252,ClearTrust
CID253,Cashvisory
CID254,Electrifi Mobility
CID255,ClearTrust
CID256,Third Wave Coffee
CID257,INC5
CID258,Ecofy
CID259,Biryani By Kilo
CID260,Natch
CID261,Kuku FM
CID262,OnFinance AI
CID263,Phi Commerce Pvt Ltd
CID264,Namdev Finvest
CID265,Mirana Toys
CID266,FreshBus
CID267,GlobalBees
CID268,Upswing Financial Technologies
CID269,Noise
CID270,OxyZEN Express
CID271,FinAGG
CID272,Clove Dental
CID273,Innovist
CID274,Zepto
