Company Name,Funding Round,Amount,Date,RupeesAmount
KisanKraft,Angel,"$40,000","Jan 1, 2006",3000000
MakeMyTrip.com,Series B,"$13,000,000","Dec 14, 2006",975000000
Sterling Hospitals,Venture - Series Unknown,"$15,500,000","Oct 22, 2006",1162500000
Achievo,Series B,"$24,000,000","Feb 27, 2007",1800000000
iPolicy Networks,Series B,"$15,000,000","Oct 4, 2005",1125000000
Persistent Systems,Series A,"$18,800,000","Dec 9, 2005",1410000000
Tejas Networks India,Series C,"$15,000,000","Jan 6, 2005",1125000000
Enpocket,Series C,"$9,500,000","Dec 9, 2004",712500000
Ascend Telecom Infrastructure Pvt. Ltd,Venture - Series Unknown,—,"Jul 1, 2007",0
Rolex Rings,Private Equity,"$40,000,000","Sep 1, 2007",3000000000
9X Media Pvt. Ltd.,Private Equity,—,"Aug 1, 2007",0
Games24x7,Seed,—,"Jun 5, 2006",0
Car Club,Seed,"₹203,300,000","Aug 1, 2007",203300000
Jofind Resources Companies,Series A,"$100,000","Mar 3, 2001",7500000
Krayon Pictures,Venture - Series Unknown,"₹30,000,000","Mar 1, 2008",30000000
Mobile2win,Venture - Series Unknown,—,"Jan 1, 2003",0
hubergroup,Post-IPO Equity,"₹690,000,000","Oct 1, 2005",690000000
VBS Chess Academy,Series A,—,"Apr 2, 2000",0
24 Mantra Organic,Seed,"$1,049,470","Jun 1, 2008",78710250
TrueSpan,Series A,—,"May 15, 2005",0
Miles Software,Private Equity,—,"Jun 6, 2008",0
TutorVista,Series B,"$10,750,000","Dec 20, 2006",806250000
Kshema Technologies,Private Equity,"$21,000,000","Jul 1, 2004",1575000000
Skenzo,Private Equity,—,"Mar 26, 2008",0
CEON Solutions,Venture - Series Unknown,"$688,000","Mar 20, 2007",51600000
Komli Media,Series A,"$7,000,000","Jan 1, 2008",525000000
Karvy Group,Private Equity,—,"Jul 1, 2004",0
India Switch Company,Venture - Series Unknown,"$23,000,000","Apr 1, 2005",1725000000
HHV Solar,Venture - Series Unknown,"$7,000,000","Mar 1, 2008",525000000
ACB (India) Limited,Series C,"$25,090,000","Mar 31, 2008",1881750000
RCL Foods,Post-IPO Equity,—,"Feb 21, 2008",0
Reach Technologies,Venture - Series Unknown,"₹20,000,000","Mar 1, 2004",20000000
ITFinity,Angel,—,"May 12, 2000",0
MACROCOMM,Venture - Series Unknown,"₹60,000,000","Mar 1, 2006",60000000
Data Access,Venture - Series Unknown,—,"Apr 4, 2000",0
Gold Souk Group,Venture - Series Unknown,—,"Oct 1, 2005",0
Shree Kamdhenu Electronics Pvt. Ltd.,Venture - Series Unknown,—,"Jan 1, 2003",0
Viedea,Angel,—,"Jan 1, 2008",0
Data View Systems,Seed,"₹100,000","Mar 21, 2008",100000
IMIsoft Engineering,Private Equity,—,"Mar 1, 2008",0
ixigo,Seed,"$500,000","Feb 1, 2008",37500000
NeST Group,Venture - Series Unknown,"$22,250,000","May 16, 2006",1668750000
Manthan,Venture - Series Unknown,"$2,000,000","Jun 20, 2007",150000000
Sanovi Technologies,Series B,"$6,100,000","Aug 1, 2006",457500000
Zicom,Post-IPO Equity,—,"Jun 12, 2007",0
iKen Solutions Pvt. Ltd.,Funding Round,"$2,000,000","Jan 1, 2007",150000000
Phonologies (India),Pre-Seed,"$40,000","Jul 1, 2001",3000000
Touchpoint,Series C,"$3,000,000","Apr 16, 2003",225000000
Parksons Packaging,Private Equity,"$11,000,000","Jan 1, 2006",825000000
Influx Worldwide,Pre-Seed,"$50,000","Oct 12, 2005",3750000
Coastal Projects,Private Equity,"$32,800,000","Apr 1, 2008",2460000000
Teledata Informatics,Venture - Series Unknown,—,"Apr 10, 2007",0
GPT Steel Industries,Private Equity,—,"Jul 24, 2006",0
Cepha Imaging,Private Equity,—,"Dec 1, 2005",0
MokshaYug Access (MYA),Venture - Series Unknown,"$2,000,000","Mar 17, 2008",150000000
Mahindra Rise,Post-IPO Equity,"$60,000,000","Jul 1, 2008",4500000000
Iven Medicare,Venture - Series Unknown,"$24,000,000","Jan 16, 2008",1800000000
MapmyIndia,Series B,"$25,000,000","Aug 10, 2007",1875000000
Samson Maritime,Private Equity,"₹65,000,000","Jan 1, 2008",65000000
PropertyFirst.com,Series A,—,"Mar 17, 1999",0
Aarvee Associates,Series A,—,"Jan 1, 1989",0
Saaol Health,Pre-Seed,"₹100,000","Aug 12, 1994",100000
Suvidhaa,Series A,—,"Jan 1, 2008",0
Reasoning Global eApplications Ltd.,Series A,"$1,550,000","Jan 1, 2008",116250000
Eco Recycling Limited,Post-IPO Equity,—,"Jan 15, 2008",0
Society For Orphan Neglected And Youths,Seed,"$30,000","Apr 15, 2004",2250000
DishnetDSL,Corporate Round,"$22,900,000","Mar 17, 2000",1717500000
InstaColl,Venture - Series Unknown,—,"Mar 15, 2007",0
burrp!,Series A,"$2,000,000","Nov 1, 2007",150000000
MT Educare,Private Equity,"$12,000,000","Aug 29, 2007",900000000
SMEClabs,Series A,"$15,000","Feb 2, 2001",1125000
NTT Global Networks,Series B,"$35,000,000","Oct 15, 2001",2625000000
IARC,Private Equity,—,"Mar 1, 2006",0
Trinethra,Private Equity,"₹80,000,000","Aug 1, 2000",80000000
Brightcom Group (formerly LYCOS Internet Ltd),Venture - Series Unknown,"$20,000,000","Dec 5, 2007",1500000000
Paras Pharmaceuticals Ltd,Private Equity,"₹1,000,000,000","Jul 21, 2006",1000000000
Veeda Clinical Research,Private Equity,—,"Jan 1, 2007",0
ideacts innovations,Venture - Series Unknown,"$5,000,000","Jul 3, 2008",375000000
Bafna,Venture - Series Unknown,—,"Jul 1, 2008",0
ICOMM Tele,Private Equity,"₹700,000,000","Feb 1, 2008",700000000
Vishal Retail,Venture - Series Unknown,—,"Sep 1, 2005",0
Tanglin,Private Equity,"$86,000,000","Mar 1, 2007",6450000000
