Company,Funding Round,Amount,Date,RupeesAmount
Myna Mahila Foundation,Grant,"$100,000","Jul 9, 2023",7500000
Dream Sports,Secondary Market,"$400,000,000","Mar 24, 2021",30000000000
Auxilo,Venture - Series Unknown,"₹4,700,000,000","Jul 25, 2023",4700000000
Crepdog Crew,Seed,—,"Jan 11, 2023",0
Breathe ESG,Pre-Seed,"₹26,100,000","Jun 24, 2023",26100000
Gabit,Seed,"$9,500,000","Jan 1, 2023",712500000
Reliance Jio,Private Equity,"$4,618,000,000","May 8, 2020",346350000000
Knocksense,Seed,"$1,000,000","Apr 19, 2023",75000000
ClearTrust,Seed,"$200,000","Jan 1, 2021",15000000
Monitra Healthcare,Seed,"$500,000","Jun 5, 2023",37500000
Bharatsure,Seed,"$1,200,000","Feb 1, 2022",90000000
Supplynote,Series A,"$2,250,000","Jul 12, 2023",168750000
Ethereal Machines,Series A,"₹598,000,000","Jul 24, 2023",598000000
Blitz,Seed,"$3,000,000","Jul 19, 2023",225000000
Evify,Seed,"$100,000","Jul 7, 2022",7500000
Mufin Green Finance,Post-IPO Debt,"₹5,300,000,000","Feb 15, 2023",5300000000
Showroom B2B,Seed,"₹110,000,000","Jan 11, 2023",110000000
Reliance Jio,Private Equity,"₹371,318,000,000","Jun 13, 2020",371318000000
keen technologies,Venture - Series Unknown,"$20,000,000","Aug 20, 2022",1500000000
Mykare Health,Seed,"$2,000,000","Jun 15, 2023",150000000
D-Nome,Seed,"$1,500,000","Jan 21, 2023",112500000
Star Health and Allied Insurance,Private Equity,"₹3,217,000,000","Nov 30, 2021",3217000000
Yulu,Series B,"₹6,530,000,000","Sep 12, 2022",6530000000
Petmojo,Seed,"$450,000","Jun 30, 2023",33750000
Stable Money,Seed,"$5,000,000","Feb 13, 2023",375000000
Furlenco,Corporate Round,"₹3,000,000,000","Jul 17, 2023",3000000000
Pikndel,Pre-Seed,"$285,000","Jun 24, 2023",21375000
Ergos,Series A,"₹810,000,000","Feb 8, 2021",810000000
360 ONE Wealth,Private Equity,—,"Mar 31, 2022",0
Roopya,Seed,"₹50,900,000","Jun 24, 2023",50900000
Freakins,Seed,"₹330,000,000","Jul 5, 2023",330000000
Crib,Seed,"₹150,000,000","Jun 21, 2023",150000000
InMobi,Debt Financing,—,"Jan 1, 2014",0
Clensta,Venture - Series Unknown,"₹750,000,000","Jul 10, 2023",750000000
Ati Motors,Series A,"₹890,000,000","Jul 21, 2023",890000000
