Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt,CID
Ugees,Pre-Seed,—,"Dec 21, 2023",0,0,CID1
Woovly Shop Socially,Venture - Series Unknown,—,"Nov 27, 2023",0,0,CID2
Fibmold Packaging,Venture - Series Unknown,"₹830,000,000","Nov 2, 2023",830000000,9960000,CID3
3EV Industries,Series A,"₹960,000,000","Feb 12, 2024",960000000,11520000,CID4
Vivifi India,Series B,"$15,000,000","Jan 24, 2024",1125000000,13500000,CID5
PatilKaki,Seed,—,"Nov 29, 2023",0,0,CID6
Aakash Educational Services,Funding Round,"₹24,950,000,000","Jan 25, 2024",24950000000,299400000,CID7
Beyond Odds,Venture - Series Unknown,"₹910,000,000","Dec 19, 2023",910000000,10920000,CID8
Supplynote,Series A,"$2,250,000","Jul 12, 2023",168750000,2025000,CID9
Ergos,Series B,"$7,000,000","Sep 22, 2023",525000000,6300000,CID10
Proost69,Debt Financing,—,"Oct 25, 2023",0,0,CID11
Vegapay,Pre-Seed,"₹91,500,000","Aug 16, 2023",91500000,1098000,CID12
BlackLight Studio Works,Seed,—,"Nov 3, 2023",0,0,CID13
Finayo,Venture - Series Unknown,"₹160,000,000","Dec 18, 2023",160000000,1920000,CID14
Ethereal Machines,Series A,"₹598,000,000","Jul 24, 2023",598000000,7176000,CID15
Game Theory,Seed,"₹166,000,000","Oct 16, 2023",166000000,1992000,CID16
Hogr,Seed,"₹100,000,000","Dec 18, 2023",100000000,1200000,CID17
Done Deal,Pre-Seed,"$800,000","Oct 17, 2023",60000000,720000,CID18
Blitz,Seed,"$3,000,000","Jul 19, 2023",225000000,2700000,CID19
Wiom,Series A,"₹1,400,000,000","Jul 27, 2023",1400000000,16800000,CID20
Voiceowl,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID21
altM,Seed,"$3,500,000","Sep 7, 2023",262500000,3150000,CID22
Proxgy,Seed,"₹160,000,000","Oct 12, 2023",160000000,1920000,CID23
Shyam Metalics and Energy,Post-IPO Equity,"₹13,850,000,000","Jan 9, 2024",13850000000,166200000,CID24
Evify,Seed,"$100,000","Jul 7, 2022",7500000,90000,CID25
Pepperfry,Private Equity,"$23,000,000","Sep 5, 2023",1725000000,20700000,CID26
Nat Habit,Series B,"$10,200,000","Dec 12, 2023",765000000,9180000,CID27
Settlin,Seed,—,"Nov 15, 2023",0,0,CID28
Manastu Space,Seed,"₹250,000,000","Sep 5, 2023",250000000,3000000,CID29
Amaha (formerly InnerHour),Series A,"₹500,000,000","Jan 9, 2024",500000000,6000000,CID30
Navadhan Capital,Seed,"₹417,000,000","Dec 6, 2023",417000000,5004000,CID31
FruBon,Series A,—,"Feb 13, 2024",0,0,CID32
Prabhu Bhakti,Seed,—,"Jan 5, 2024",0,0,CID33
Meesho,Secondary Market,"$52,500,000","Oct 13, 2023",3937500000,47250000,CID34
Maidaan,Pre-Seed,—,"Jan 4, 2024",0,0,CID35
VECROS,Pre-Seed,"$250,000","Feb 5, 2024",18750000,225000,CID36
Country Delight,Series E,"₹1,644,000,000","Jan 5, 2024",1644000000,19728000,CID37
Pandorum Technologies,Series B,"₹880,000,000","Mar 19, 2024",880000000,10560000,CID38
Larkai Healthcare,Seed,"₹41,600,000","Jan 3, 2024",41600000,499200,CID39
Freight Tiger,Corporate Round,"₹1,500,000,000","Oct 19, 2023",1500000000,18000000,CID40
Jimmy's Cocktails,Seed,"₹122,000,000","Dec 1, 2023",122000000,1464000,CID41
Mufin Green Finance,Post-IPO Debt,"₹5,300,000,000","Feb 15, 2023",5300000000,63600000,CID42
Bolt.Earth,Series B,"$20,000,000","Oct 5, 2023",1500000000,18000000,CID43
VerSe Innovation,Debt Financing,"₹500,000,000","Feb 7, 2024",500000000,6000000,CID44
Ola Electric,Private Equity,"$140,000,000","Sep 7, 2023",10500000000,126000000,CID45
ControlZ,Seed,"₹249,000,000","Feb 7, 2024",249000000,2988000,CID46
Offside,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID47
KathaVersse Media Network,Seed,"$400,000","Sep 21, 2023",30000000,360000,CID48
Wootz.work,Seed,"₹290,000,000","Aug 22, 2023",290000000,3480000,CID49
GrowXCD Finance,Series A,"₹300,000,000","Nov 27, 2023",300000000,3600000,CID50
Vidyut,Debt Financing,—,"Feb 20, 2024",0,0,CID51
Ayekart Fintech,Series A,"₹530,000,000","Feb 15, 2024",530000000,6360000,CID52
Metalbook,Series A,"₹1,250,000,000","Feb 15, 2024",1250000000,15000000,CID53
Push Sports,Seed,"₹8,000,000","Feb 19, 2024",8000000,96000,CID54
OTO Capital,Venture - Series Unknown,"₹830,000,000","Feb 6, 2024",830000000,9960000,CID55
Chefling,Angel,"₹4,000,000","Feb 20, 2024",4000000,48000,CID56
SpiceJet Limited,Post-IPO Equity,"₹7,440,000,000","Jan 25, 2024",7440000000,89280000,CID57
NEPRA Resource Management,Secondary Market,—,"Feb 22, 2024",0,0,CID58
RailYatri,Series C,"₹245,800,000","Feb 19, 2024",245800000,2949600,CID59
Noccarc,Seed,"₹166,000,000","Feb 13, 2024",166000000,1992000,CID60
Alt Mobility,Series A,"₹500,000,000","Jan 18, 2024",500000000,6000000,CID61
PocketATM,Pre-Seed,"$400,000","Feb 13, 2024",30000000,360000,CID62
Oopar.Club,Pre-Seed,"₹5,000,000","Feb 21, 2024",5000000,60000,CID63
Induced AI,Seed,"$2,300,000","Oct 3, 2023",172500000,2070000,CID64
Beyoung,Venture - Series Unknown,—,"Feb 19, 2024",0,0,CID65
Segwise,Pre-Seed,"₹133,000,000","Feb 14, 2024",133000000,1596000,CID66
